index,sid,text,polarity,file,text_original
4,cr-5-5,در عوض رزولوشن بالای تصویر دقت تصاویر رو خیلی بالا برده و در آخر با پردازنده ی دو هسته ای این اسمارت فون شما قادر به انجام هر گونه بازی و مرور در صفحات وب به آسونی هستید,1,data/main/Sony Xperia Ion.xml,در عوض رزولوشن بالاي تصوير دقت تصاوير رو خيلي بالا برده و در آخر با پردازنده ي دو هسته اي اين اسمارت فون شما قادر به انجام هر گونه بازي و مرور در صفحات وب به آسوني  هستيد 
1,gr-39-2,ممنون دیجی کالا,0,data/main/HP_ProBook_4540s-A.xml,ممنون ديجي کالا 
18,cr-10-19,"""سپاس""",0,data/main/Apple iPhone 5 - 16GB.xml,"""سپاس"""
26,rev-27,خوب، Hero به طرز شگفت انگیزی کوچک و سبک وزن است.,1,data/main/GoPro HD Hero 960.xml,خوب، Hero  به طرز شگفت انگیزی کوچک و سبک وزن است.
48,rev-49,پس از اینکه کوچک و سبک بودن، آسانی نحوه ی اتصال، حمل و نقل، خاصیت ضد آب و ضد ضربه ی این دوربین بوسیله ی محافظ پلی کربناتی برای ما ثابت شد، به سراغ ویژگی های فیلم برداری و کیفیت آن می رویم.,1,data/main/GoPro HD Hero 960.xml,پس از اینکه کوچک و سبک بودن،  آسانی نحوه ی اتصال،  حمل و نقل،   خاصیت ضد آب و ضد ضربه ی این دوربین بوسیله ی محافظ پلی کربناتی برای ما ثابت شد،  به سراغ ویژگی های فیلم برداری و کیفیت آن می رویم.
77,rev-78,بر روی بدنه یک پورت USB 2.0 برای اتصال به رایانه به منظور انتقال فایل ها و شارژ باتری ، خروجی HDMI برای اتصال به تلوزیون های دیجیتال و جک 2.5 میلی متری صدا دیده می شود.,0,data/main/GoPro HD Hero 960.xml,بر روی بدنه یک پورت USB 2.0 برای اتصال به رایانه به منظور انتقال فایل ها و شارژ باتری ،  خروجی HDMI برای اتصال به تلوزیون های دیجیتال و جک 2.5 میلی متری صدا دیده می شود.
1,gr-7-2,واقعا محشره,2,data/main/Samsung Galaxy S III I9305 - 16GB.xml,"واقعاً محشره
"
45,cr-6-46,این کنترل از نسخه‌ی اولیه‌ی آن که در کنسول XBOX 360 نسخه‌ی Premium وجود داشت، بزرگ‌تر است و از لحاظ امکانات و قابلیت‌ها، از نسخه‌ی قبلی خود کامل‌تر است و این مساله استفاده‌ی آن را در کاربردهای مختلف افزایش می‌دهد.,1,data/main/Microsoft Xbox 360 Elite.xml,اين کنترل از نسخه‌ي اوليه‌ي آن که در کنسول XBOX 360 نسخه‌ي Premium وجود داشت، بزرگ ‌تر است و از لحاظ امکانات و قابليت‌ها، از نسخه‌ي قبلي خود کامل‌ تر است و اين مساله استفاده‌ي آن را در کاربردهاي مختلف افزايش مي‌دهد.
55,rev-56,دوربین اصلی این گوشی دارای یک سنسور 8 مگاپیکسلی می‌باشد که قابلیت فیلم برداری با کیفیت FullHD با سرعت 30 فریم بر ثانیه را نیز داراست.,0,data/main/LG Optimus Vu P895.xml,دوربین اصلی این گوشی دارای یک سنسور 8 مگاپیکسلی می‌باشد که قابلیت فیلم برداری با کیفیت FullHD با سرعت 30 فریم بر ثانیه را نیز داراست.
16,rev-17,محیط نرم افزاری به لطف پردازنده بسیار قدرتمند دو هسته ای و حافظه RAM بالا، بسیار روان است و می‌توانیم بگوییم که به جز حالتی که از تصویر پس زمینه متحرک استفاده کردیم، تقریبا هیچ‌گونه کاهش سرعتی هنگام کار کردن با این تبلت مشاهده نکردیم.,2,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,محیط نرم افزاری به لطف پردازنده بسیار قدرتمند دو هسته ای و حافظه RAM بالا،  بسیار روان است و می‌توانیم بگوییم که به جز حالتی که از تصویر پس زمینه متحرک استفاده کردیم،  تقریبا هیچ‌گونه کاهش سرعتی هنگام کار کردن با این تبلت مشاهده نکردیم.
