category,file_name,absolute_path,size_kb
figure,cross_validation_macro_f1.png,D:\Bachelor Project\PersianSentimentProject\outputs\figures\03_classic_models\cross_validation_macro_f1.png,80.22
figure,normalized_confusion_matrices.png,D:\Bachelor Project\PersianSentimentProject\outputs\figures\03_classic_models\normalized_confusion_matrices.png,329.18
metadata,classic_model_metadata.json,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\classic_model_metadata.json,1.02
model,linear_svm.joblib,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\linear_svm.joblib,1318.56
model,logistic_regression.joblib,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\logistic_regression.joblib,871.1
model,multinomial_naive_bayes.joblib,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\multinomial_naive_bayes.joblib,1192.15
model,sgd_classifier.joblib,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\sgd_classifier.joblib,815.72
selected_model,best_classic_model.joblib,D:\Bachelor Project\PersianSentimentProject\outputs\models\03_classic_models\best_classic_model.joblib,1318.56
table,best_model_per_class.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\best_model_per_class.csv,0.51
table,class_difficulty_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\class_difficulty_summary.csv,0.43
table,class_error_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\class_error_summary.csv,0.73
table,confusion_diagonal_comparison.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\confusion_diagonal_comparison.csv,0.49
table,confusion_pair_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\confusion_pair_summary.csv,1.64
table,cross_validation_fold_results.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\cross_validation_fold_results.csv,6.91
table,cross_validation_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\cross_validation_summary.csv,1.4
table,environment_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\environment_summary.csv,0.18
table,error_analysis_table.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\error_analysis_table.csv,650.96
table,error_direction_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\error_direction_summary.csv,0.14
table,error_examples.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\error_examples.csv,16.87
table,error_overview.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\error_overview.csv,0.23
table,error_severity_summary.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\error_severity_summary.csv,0.15
table,holdout_model_comparison.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\holdout_model_comparison.csv,1.3
table,linear_svm_confusion_matrix_counts.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\linear_svm_confusion_matrix_counts.csv,0.12
table,linear_svm_confusion_matrix_normalized.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\linear_svm_confusion_matrix_normalized.csv,0.5
table,logistic_regression_confusion_matrix_counts.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\logistic_regression_confusion_matrix_counts.csv,0.12
table,logistic_regression_confusion_matrix_normalized.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\logistic_regression_confusion_matrix_normalized.csv,0.49
table,misclassified_samples.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\misclassified_samples.csv,294.4
table,most_common_confusions.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\most_common_confusions.csv,0.36
table,multinomial_naive_bayes_confusion_matrix_counts.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\multinomial_naive_bayes_confusion_matrix_counts.csv,0.11
table,multinomial_naive_bayes_confusion_matrix_normalized.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\multinomial_naive_bayes_confusion_matrix_normalized.csv,0.34
table,per_class_classification_report.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\per_class_classification_report.csv,1.76
table,per_class_f1_comparison.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\per_class_f1_comparison.csv,0.49
table,selection_comparison.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\selection_comparison.csv,0.14
table,severe_error_examples.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\severe_error_examples.csv,7.63
table,sgd_classifier_confusion_matrix_counts.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\sgd_classifier_confusion_matrix_counts.csv,0.12
table,sgd_classifier_confusion_matrix_normalized.csv,D:\Bachelor Project\PersianSentimentProject\outputs\tables\03_classic_models\sgd_classifier_confusion_matrix_normalized.csv,0.48
