source_index,text,polarity,label_id,split
1725,اما وقتی نتایج آزمایش‌های سخت افزاری و کارکرد گوشی را بررسی می‌کنیم، متوجه می‌شویم اپل با ارائه iPhone 5 ، مجددا به برترین گوشی تا زمان ورود خودش به بازار تبدیل گردیده است.,1,3,train
1771,ممنون از مسئولان دیجی کالا واقعا دیجی کالا بهترین فروشگاه اینترنتی است,1,3,train
3314,سرعت شاتر این دوربین در هنگام فیلم برداری از 1/4 ثانیه تا 1/4000 و در هنگام ضبط عکاسی از 30 ثانیه تا 1/4000 ثانیه می باشد.,0,2,train
200,ضد آب بیشتر به درد کشور های اروپایی می خوره که بارندگی زیاد دارن و مردم بتونن گوشی رو موقع بارون هم استفاده کنن !,0,2,train
2984,مدل 3G و LTE این تبلت گفته شده به زودی عرضه خواهد شد شاید هم شده باشه به نظرم ارزش صبر کردن داره تا مدل سیمکارت خورش بیاد.,0,2,train
12471,این گوشی به لطف پردازنده ی دو هسته ای نسل جدید ، باتری بهتر و طراحی فوق العاده و همچنین ضد آب و ضد ضربه بودن دارای اقبال زیادی در فروش خواهد بود و سونی موبایل نشان داد که در زمینه ی اسمارت فون هر روز قدرتمند تر عمل می کند .,2,4,train
5973,نمایشگر بسیار با کیفیت می‌باشد و کادر بندی و تماشای عکس‌ها از طریق آن بسیار لذت بخش است.,2,4,train
1020,در حالی که باتری بسیاری از دوربین‌ها، در دماهای زیر صفر دیگر رمقی برای شارژ دهی ندارد، باتری FT3 به راحتی تا دمای منفی 10 درجه‌ی سانتی‌گراد پشتیبانی و شارژ دهی می‌کند.,1,3,train
8945,متاسفانه هیچ کدام از این جلوه‌ها در هنگام ضبط ویدیویی قابلیت اعمال ندارند.,-1,1,train
2100,وزن کم و ضخامت 7.6میلیمتری این گوشی با طراحی زیبا از دیگر موارد کاربر پسندی هستند که میتوان به آنها نیز اشاره کرد.,1,3,train
12839,برای اجرای بسیاری از اتوران‌های مجموعه‌های دیگر باید نرم‌افزارهایی همانند Net Framework 4.0 نصب کنید که امکان نصب آن برروی بعضی سیستم‌ها همانند سیستم‌های داخل شبکه و یا سیستم‌های قدیمی‌تر همانند XP SP2 نیست و یا حتی برروی سیستم‌های جدید هم ممکن است بنا به دلایلی همانند مشکلات ویندوز نصب نشود.,0,2,train
12296,ولی کیفیت عکسش بخصوص موقع زوم کردن اصلا منو راضی نکرد و حالت آبرنگی پیدا می کنه همه تنظیمات هم درسته ولی نمی دونم چرا اینطور میشه,-1,1,train
3499,به علاوه این گرد بودن لبه‌های گوشی باعث می‌شود که در دست راحت‌تر جای گیرد و کار کردن با آن راحت‌تر شود.,1,3,train
8867,بر خلاف نظر دوستان، از نظر من باطریش هم قابل قبوله,1,3,train
8696,ولی اگه بخواین با sola مقایسه کنید به نظر من تو کل موارد این سرتر هست .,1,3,train
4047,به طور کلی دوربینی کاملا موفق با تکنولوژی باور نکردنی و در حال حاضر بی‌رقیب.,2,4,train
7660,میتونه از همه ی گوشیهایی که امسال وارد بازار خواهد شد قویتر باشد اما فکر نکنم فروشش خوب باشه,0,2,train
8199,البته فیلم برداری 4K با سرعت 15 فریم بر ثانیه انجام می گیرد که شاید برای صحنه های سریع ورزشی چندان مناسبت نداشته باشد، ولی 1080p آن با سرعت 60 فریم بر ثانیه انجام می گیرد که عالیست.,1,3,train
11181,1Ds در زمان ورود به بازار حدود 8000 دلار قیمت داشت.,0,2,train
5906,معمولیشم داشتم ولی خیلی داغ میکرد.,-1,1,train
1336,مطمئن باشید از خرید این ipod پشیمون نمیشید,1,3,train
3751,عکسهای خیلی خوبی میگیره و فیلمبرداریش درسته که 15 فریمه ولی خوبه.,2,4,train
8597,سلام این گوشی از رایتل و مکالمه تصویری پشتیبانی میکنه، تو سایت رایتل اعلام کردن.,1,3,train
139,یعنی از همان کارت های حافظه ی خیلی کوچکی که معمولا در دوربین های دیجیتال مورد استفاده قرار می گیرد.,0,2,train
8866,در یک کلمه بگم واقعا عالیه .,2,4,train
12383,این دوربین توانایی ضبط ویدیویی 720p HD با سرعت 30 فریم بر ثانیه را دارد.,0,2,train
1159,واقعا HD710 باید یکی از برترین های سال دونست که میتونه تقریبا همه رقیباشو بزنه کنار.,2,4,train
1128,عالیه شگ نکنین اصلا گارانتی آونگ ایدیتا با سازگار قالب مقایسه نیست.,2,4,train
12333,به دلیل اینکه مدارات این سنسورها در قسمت پشتی آن‌ها به کار رفته، در ایزوهای بالا عملکرد خیلی بهتری را از خود نشان می‌دهند و نویز کمتری تولید می‌کنند.,1,3,train
12406,و کلا تو این رنج قیمت یکی از بهترین گوشی هاست .,2,4,train
7469,شارژ باتری نیز می‌توان گفت که خیلی زود تمام می‌شود و پس از حدود یک ساعت فیلم برداری کاملا تخلیه می‌گردد.,-2,0,train
5003,اما تفاوت‌های اساسی در قسمتهای دیگر آن است.,0,2,train
697,قصد اصلی من برای بازی بود.,0,2,train
5526,LG به نظر من باید رو این گوشی بیشتر کار میکرد اگه بخوام با نوت 2 مقایسش کنم باید بگم نوت2 خیلی از این بهتره هم صفحه نمایشش هم سخت افزارش از این بهتره تازه از نظر ظاهر هم نوت 2خیلی قشنگ تره.,0,2,train
7286,سنسور تصویر به کار رفته در Ixus 510 HS نیز همانی است که پیش از این بر روی 500 HS به کار رفته بود.,0,2,train
11530,Nexus 4 در دو مدل 8 و 16 گیگابایتی عرضه شده است و متاسفانه دارای درگاه کارت حافظه نمی‌باشد.,-1,1,train
12895,من برای مادرم خریدم.,0,2,train
7923,محبوب باز هم در حالی که گوشی های هوشمند پر طرفدار است.,0,2,train
6315,سخت افزار نسبتا ضعیفی داره البته من نسبت به قیمت این رو عرض کردم در کل فکر نمیکنم خیلی آدم رو راضی نگه داره,-1,1,train
5520,نظر در مورد ظاهرشونو به خود دیجیکالا میسپرم و تو نقد و بررسی کامل میشه پیداش کرد,0,2,train
6170,اصلا فکر نکنین که واسه بازی های آنلاین نیاز به سرعت افسانه های دارین.,0,2,train
7236,از نظر من ارزشش رو نداره.,-2,0,train
973,به هر صورت از این نظر P7700 کاملا عالی و طبق انتظاری است که داشتیم.,2,4,train
11896,همچنین از لرزش‌گیر دست هم بهره می‌برد تا عکس شما بر اثر لرزش دستتان تار نشود.,1,3,train
10036,شاید اگر بخواهیم رقیبی برای Sleekbook نام ببریم، تنها بتوانیم به سری V5 کمپانی Acer اشاره کنیم.,0,2,train
12487,این گوشی دارای گواهینامه IPx5/7 می‌باشد که بالاترین گواهی تضمین مقاومت گوشی‌های موبایل در مقابل نفوذ آب می‌باشد.,2,4,train
7335,این نوت‌بوک در کل بدنه مستحکمی دارد و در بیشتر نقاط فقط کمی بر اثر فشار دچار خمش می‌شود.,1,3,train
10446,بنظر من فقط یک چیز این موبایل بد است ان هم کیفیت دوربین ان است,-1,1,train
9590,به نظر من این گوشی ارزش خرید نداره اگه قیمتش هم اندازه ی گوشی هایی مثل گلکسی اس 3 و اچ تی سی وان ایکس باشه به نظر من حداقلش پردازندش باید 4 هسته ای می بود که نیست همچنین اگه بخوایم عمر باتری در نظر بگیریم که اپل خیلی عقبه.,-2,0,train
2795,DV300F مجهز به سنسور تصویر 16 مگا پیکسلی CCD می‌باشد.,0,2,train
8588,برای مثال عرض میکنم که همین سی پی یو در محصولات سونی - اچ تی سی - سامسونگ - موتورولا -و غیره استفاده می شه .,0,2,train
860,3- ارتقاء فلاش LED دوربین (LED Flash) به فلاش LED هوشمند (Smart LED Flash) با قابلیت تنظیم نور تا 5 سطح مختلف با استفاده از فاصله دوربین تا سوژه.4- صفحه نمایش از نوع Super LCD 2 (که امتحانش رو در One X پس داد) و سایز 4.3 اینچ؛ که هم نوع صفحه نمایش یک ورژن بهتر شده و هم سایزش 0.3 اینچ افزایش داشته.,1,3,train
1684,نرم افزار iOS 6 !,0,2,train
11733,سلام به همگی من 4 ماه میشه که این گوشی رو خریدم خیلی ازش راضیم کلی برنامه و بازی روش نصب کردم فقط اگر در مورد اندازه اش حساس نباشی گوشی خیلی خوبی هستش من که از خریدنش پشیمون نیستم .,2,4,train
2537,کمینه ی نسبت کانونی این لنز در حالت واید f/3.1 می باشد که تا لنزی نسبتا سریع به حساب می آید.,1,3,train
2131,لذت بخش ترین زمان وقتی است که در چند دیوایس توانایی سریع در sharing اطلاعات بدون هیچ پروتوکل جانبی(internet) وجود داشته باشد، بتوان به صورت نامحدود و رایگان از storage موجود در دیوایس بهره برد ، امکان ارتقا فضای حافظه وجود داشته باشد تا به مرور به صورت کاملا اقتصادی به اشتهای کاربری پاسخ مثبت داده شود.,0,2,train
6741,در حساسیت 200 نویز رنگی مقداری افزایش می یابدو در ایزوی 400 تشدید می شود.,-1,1,train
724,خود شرکت هم در یه مقاله ای گفته بود که باید به برق ارت دار وصل بشه و این نوسان از طریق خروجی ارت حل میشه.,0,2,train
10004,• طراحی، ساخت و صفحه‌ی نمایشطراحی گوشی پدفون در یک کلمه زیباست.,2,4,train
690,هرچند درایورشو دانلود کردم (باید ویندوزش اوریجینال باشه).,0,2,train
3419,کیفیت صفحه نمایش هم با رزولوشن HD 720p و صفحه 4.3 اینچی تراکم پیکسلی فوق العاده بالای 342ppi را شامل میشه.,2,4,train
10364,فیلم‌ها و عکس‌ها فقط می‌توانند بر روی کارت حافظه‌ی SD/SDHC/SDXC ذخیره شوند و هیچ گونه حافظه‌ی داخلی وجود ندارد.,0,2,train
1519,همچنین از ویژگی‌های مدل 211 پشتیبانی کامل از زیرنویس فارسی و نمایش مناسب و امکان تنظیم آن است که باعث شده این مدل از مدل‌های قبلی متمایز گردد.,1,3,train
12362,این لنز در عین حال که در حالت واید می‌تواند میدان دید بسیار گسترده‌ای را پوشش می‌دهد، در زوم کامل نیز بزرگنمایی قابل توجهی را ارائه می‌کند و بدین ترتیب یکی از سوپر زوم‌ترین دوربین‌های کامپکت بازار است.,2,4,train
7836,فبلت به محصولاتی گفته می‌شود که همانند گوشی‌ها، سیم کارت خور بوده و قابلیت ایجاد تماس‌های تلفنی را دارند ولی ابعاد آن‌ها بزرگ‌تر از استاندارد گوشی‌ها بوده و به تبلت ها تشابه دارند.,0,2,train
9377,من مدتی هستش این گوشی رو دارم.,0,2,train
4436,باشید و همین طور بی دلیل روشن نذارید باشه,0,2,train
526,در مود Advanced شما می توانید از بین طیفی از رزولوشن، رنگ و ابزارهای برطرف کننده ی خطا انتخاب کنید.,0,2,train
7010,دوربین.,0,2,train
1604,• جمع بندی در مجموع باید بگوییم که تعدادی از قابلیت‌های این تبلت تا به این لحظه بی نظیر است.,1,3,train
