index,sid,text,normalized_text,polarity,file
18,gr-43-19,"""سپاس""
","""سپاس""",0,data/main/Apple iPhone 5 - 16GB.xml
18,cr-10-19,"""سپاس""","""سپاس""",0,data/main/Apple iPhone 5 - 16GB.xml
10370,-,(به دليل مشکل قطع شدن WIFI بعد از قرار دادن سيم کارت.,(به دلیل مشکل قطع شدن WIFI بعد از قرار دادن سیم کارت.,-1,data/extra/Asus Google Nexus 7 3G - 32GB.xml
1,gr-1-2,(به دليل مشکل قطع شدن WIFI بعد از قرار دادن سيم کارت.,(به دلیل مشکل قطع شدن WIFI بعد از قرار دادن سیم کارت.,-1,data/main/Asus Google Nexus 7 3G - 32GB.xml
9631,-,) خریداران خود را در اکثر زمینه‌ها راضی نگاه خواهد داشت.,) خریداران خود را در اکثر زمینه ها راضی نگاه خواهد داشت.,0,data/extra/IBM Lenovo Essential G580-J_Hosseini.xml
44,rev-45,) خریداران خود را در اکثر زمینه‌ها راضی نگاه خواهد داشت.,) خریداران خود را در اکثر زمینه ها راضی نگاه خواهد داشت.,0,data/main/IBM Lenovo Essential G580-J.xml
10376,-,) مشکل غير فعال شدن واي فاي در زمان ورود سيمکارت خيلي اذيت مي کنه  چون بايد دوباره به تنظيمات کارخانه برگشت.,) مشکل غیر فعال شدن وای فای در زمان ورود سیمکارت خیلی اذیت می کنه چون باید دوباره به تنظیمات کارخانه برگشت.,-2,data/extra/Asus Google Nexus 7 3G - 32GB.xml
3,gr-3-4,) مشکل غير فعال شدن واي فاي در زمان ورود سيمکارت خيلي اذيت مي کنه  چون بايد دوباره به تنظيمات کارخانه برگشت.,) مشکل غیر فعال شدن وای فای در زمان ورود سیمکارت خیلی اذیت می کنه چون باید دوباره به تنظیمات کارخانه برگشت.,-2,data/main/Asus Google Nexus 7 3G - 32GB.xml
942,-,).,).,0,data/extra/Asus PadFone 2 -32GB.xml
6,cr-2-7,).,).,0,data/main/HP LaserJet P1102.xml
11059,-,10.,10.,0,data/extra/Huawei U8825D Ascend G330.xml
8,cr-3-9,10.,10.,0,data/main/Sony Xperia Ion.xml
12386,-,24 میلی متر خیلی خوب است و می تواند در یک کادر میدان دیدی کاملاً گسترده را در بر گیرد.,24 میلی متر خیلی خوب است و می تواند در یک کادر میدان دیدی کاملاً گسترده را در بر گیرد.,2,data/extra/Nikon Coolpix P520_Hosseini.xml
14,rev-15,24 میلی متر خیلی خوب است و می تواند در یک کادر میدان دیدی کاملاً گسترده را در بر گیرد.,24 میلی متر خیلی خوب است و می تواند در یک کادر میدان دیدی کاملاً گسترده را در بر گیرد.,2,data/main/Nikon Coolpix P520.xml
2731,-,264 ثبت می‌گردند.,264 ثبت می گردند.,0,data/extra/Samsung DV300F_Hosseini.xml
26,rev-27,264 ثبت می‌گردند.,264 ثبت می گردند.,0,data/main/Samsung DV300F.xml
4061,-,264 را نیز دارد که عالیست.,264 را نیز دارد که عالیست.,2,data/extra/Canon PowerShot A3400 IS_Hosseini.xml
35,rev-36,264 را نیز دارد که عالیست.,264 را نیز دارد که عالیست.,2,data/main/Canon PowerShot A3400 IS.xml
3701,-,4- اندازه صفحه نمايش 4.7 براي مرور صفحات اينترنتي و کتاب کار را مشکل و خسته کننده مي کند .,4- اندازه صفحه نمایش 4.7 برای مرور صفحات اینترنتی و کتاب کار را مشکل و خسته کننده می کند .,-1,data/extra/HTC One X Plus - 64GB.xml
2,gr-9-3,4- اندازه صفحه نمايش 4.7 براي مرور صفحات اينترنتي و کتاب کار را مشکل و خسته کننده مي کند .,4- اندازه صفحه نمایش 4.7 برای مرور صفحات اینترنتی و کتاب کار را مشکل و خسته کننده می کند .,-1,data/main/HTC One X Plus - 64GB.xml
3702,-,5- عدم وجود يک قلم کاربردي .,5- عدم وجود یک قلم کاربردی .,-1,data/extra/HTC One X Plus - 64GB.xml
3,gr-9-4,5- عدم وجود يک قلم کاربردي .,5- عدم وجود یک قلم کاربردی .,-1,data/main/HTC One X Plus - 64GB.xml
3703,-,6- ظرفيت باطري 2100 ميلي آمپر همچنان کم و مشکل ساز است زيرا سرعت پردازنده زياد شده و باعث تخليه سريعتر شارژ مي شود 7- داغ شدن گوشي هنگام بازي آزار دهنده است همانند مشکل سري X,6- ظرفیت باطری 2100 میلی آمپر همچنان کم و مشکل ساز است زیرا سرعت پردازنده زیاد شده و باعث تخلیه سریعتر شارژ می شود 7- داغ شدن گوشی هنگام بازی آزار دهنده است همانند مشکل سری X,-1,data/extra/HTC One X Plus - 64GB.xml
4,gr-9-5,"6- ظرفيت باطري 2100 ميلي آمپر همچنان کم و مشکل ساز است زيرا سرعت پردازنده زياد شده و باعث تخليه سريعتر شارژ مي شود 7- داغ شدن گوشي هنگام بازي آزار دهنده است همانند مشکل سري X
 ",6- ظرفیت باطری 2100 میلی آمپر همچنان کم و مشکل ساز است زیرا سرعت پردازنده زیاد شده و باعث تخلیه سریعتر شارژ می شود 7- داغ شدن گوشی هنگام بازی آزار دهنده است همانند مشکل سری X,-1,data/main/HTC One X Plus - 64GB.xml
4038,-,A2300 به دلیل باریکی که دارد،  خیلی شبیه به دوربین های سری Ixus می‌باشد.,A2300 به دلیل باریکی که دارد، خیلی شبیه به دوربین های سری Ixus می باشد.,0,data/extra/Canon PowerShot A3400 IS_Hosseini.xml
12,rev-13,A2300 به دلیل باریکی که دارد،  خیلی شبیه به دوربین های سری Ixus می‌باشد.,A2300 به دلیل باریکی که دارد، خیلی شبیه به دوربین های سری Ixus می باشد.,0,data/main/Canon PowerShot A3400 IS.xml
4039,-,A3400 مجهز به نمایشگر لمسی است و A4000 هم لنزی با توانایی زوم 8 برابر دارد.,A3400 مجهز به نمایشگر لمسی است و A4000 هم لنزی با توانایی زوم 8 برابر دارد.,0,data/extra/Canon PowerShot A3400 IS_Hosseini.xml
13,rev-14,A3400 مجهز به نمایشگر لمسی است و A4000 هم لنزی با توانایی زوم 8 برابر دارد.,A3400 مجهز به نمایشگر لمسی است و A4000 هم لنزی با توانایی زوم 8 برابر دارد.,0,data/main/Canon PowerShot A3400 IS.xml
4052,-,A3400 همانند بقیه‌ی دوربین های این سری مجهز به سنسور تصویر 16.1 مگاپیکسلی CCD است.,A3400 همانند بقیه ی دوربین های این سری مجهز به سنسور تصویر 16.1 مگاپیکسلی CCD است.,0,data/extra/Canon PowerShot A3400 IS_Hosseini.xml
26,rev-27,A3400 همانند بقیه‌ی دوربین های این سری مجهز به سنسور تصویر 16.1 مگاپیکسلی CCD است.,A3400 همانند بقیه ی دوربین های این سری مجهز به سنسور تصویر 16.1 مگاپیکسلی CCD است.,0,data/main/Canon PowerShot A3400 IS.xml
