index,sid,text,polarity,file,text_original
11380,-,) جای قرار گرفتن فلاشه که اولین عکسی که میخوای بگیری فلاش باز میشه و میاد بالا که باید حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,-1,data/extra/Sony Cyber-Shot DSC-HX10V.xml,) جاي قرار گرفتن فلاشه که اولين عکسي که ميخواي بگيري فلاش باز ميشه و مياد بالا که بايد حواست باشه به انگشت اشاره دست چپت برخورد نکنه.
4,gr-1-5,) جای قرار گرفتن فلاشه که اولین عکسی که میخوای بگیری فلاش باز میشه و میاد بالا که باید حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,0,data/main/Sony Cyber-Shot DSC-HX10V.xml,) جاي قرار گرفتن فلاشه که اولين عکسي که ميخواي بگيري فلاش باز ميشه و مياد بالا که بايد حواست باشه به انگشت اشاره دست چپت برخورد نکنه.
11548,-,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.,0,data/extra/Asus N43SM-C_Hosseini.xml,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.
21,rev-22,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.,1,data/main/Asus N43SM-C.xml,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.
1,gr-1-2,one x plus تنها گوشی بود که منو مجذوب خودش کرد:و اما دلیلش: 1.,1,data/main/HTC One X Plus - 64GB.xml,"one x plus تنها گوشي بود که منو مجذوب خودش کرد:و اما دليلش:
1."
3677,-,one x plus تنها گوشی بود که منو مجذوب خودش کرد:و اما دلیلش: 1.,2,data/extra/HTC One X Plus - 64GB.xml,one x plus تنها گوشي بود که منو مجذوب خودش کرد:و اما دليلش: 1.
11319,-,آهنگ و از همه مهم تر استفاده از فلش کار رو خیلی راحت و دستگاه رو خیلی ساده کرده به همه دوستان توصیه می کنم,1,data/extra/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,آهنگ و از همه مهم تر استفاده از فلش کار رو خيلي راحت و دستگاه رو خيلي ساده کرده به همه دوستان توصيه مي کنم
5,gr-9-6,آهنگ و از همه مهم تر استفاده از فلش کار رو خیلی راحت و دستگاه رو خیلی ساده کرده به همه دوستان توصیه می کنم,2,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,"آهنگ و از همه مهم تر استفاده از فلش کار رو خيلي راحت و دستگاه رو خيلي ساده کرده
به همه دوستان توصيه مي کنم 
"
66,rev-67,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,0,data/main/Apple iPhone 5 - 16GB.xml,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد،  هر سه از اپل !
1264,-,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,0,data/extra/Apple iPhone 5 - 16GB_Hosseini.xml,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد،  هر سه از اپل !
6791,-,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,1,data/extra/Apple iPhone 5 - 64GB.xml,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !
0,gr-5-1,آینده از آن سامسونگه!,0,data/main/Samsung LED 55ES8880.xml,آينده از آن سامسونگه!
8968,-,آینده از آن سامسونگه!,2,data/extra/Samsung LED 55ES8880.xml,آينده از آن سامسونگه!
0,gr-21-1,احتمالا سامسونگ علاقه زیادی داره که زیر مجموعه اپل بشه این از پشت و بقل دقیقا میشه همون آی پد واقعا باید به طراح این دستگاه جایزه نوبل داد!,0,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,احتمالا سامسونگ علاقه زيادي داره که زير مجموعه اپل بشه اين از پشت و بقل دقيقا ميشه همون آي پد واقعا بايد به طراح اين دستگاه جايزه نوبل داد!
11335,-,احتمالا سامسونگ علاقه زیادی داره که زیر مجموعه اپل بشه این از پشت و بقل دقیقا میشه همون آی پد واقعا باید به طراح این دستگاه جایزه نوبل داد!,1,data/extra/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,احتمالا سامسونگ علاقه زيادي داره که زير مجموعه اپل بشه اين از پشت و بقل دقيقا ميشه همون آي پد واقعا بايد به طراح اين دستگاه جايزه نوبل داد!
4,gr-11-5,احتمالا من اولین مشتریش باشم، چون خرید از بازار علاوه بر وجود قیمت های غیر واقعی احتمال دستکاری تو جعبه رو داره.,-1,data/main/HTC One X Plus - 64GB.xml,احتمالا من اولين مشتريش باشم،  چون خريد از بازار علاوه بر وجود قيمت هاي غير واقعي احتمال دستکاري تو جعبه رو داره.
3711,-,احتمالا من اولین مشتریش باشم، چون خرید از بازار علاوه بر وجود قیمت های غیر واقعی احتمال دستکاری تو جعبه رو داره.,1,data/extra/HTC One X Plus - 64GB.xml,احتمالا من اولين مشتريش باشم،  چون خريد از بازار علاوه بر وجود قيمت هاي غير واقعي احتمال دستکاري تو جعبه رو داره.
