dataset_index,text,actual_label,actual_label_name,predicted_label,predicted_label_name,label_distance,error_direction
9244,کسانی که پیش از این کاربر دوربین های 500D، 550D و 600D بوده اند و با فیلم برداری آن ها کار کرده اند حتما متوجه این موضوع شده اند که در مود Live view و هنگام فیلم برداری، فوکوس خودکار فوق العاده کندتر صورت می گیرد و احیانا پر اشتباه.,-2,very_negative,2,very_positive,4,predicted_more_positive
9687,از هر لحاظ بهترینه، سخت افزار قدرتمندش حتما حس خوبی به آدم میده ولی این که خیلی از قابلیت هاش در ایران کار نمیکنه خیلی بده .,-2,very_negative,2,very_positive,4,predicted_more_positive
7235,این در حالیه که با این پول میتونید هم یه تبلت خوب داشته باشید هم یه گوشی خیلی خوب .,-2,very_negative,2,very_positive,4,predicted_more_positive
7315,سرعت خیلی پایینی داره.,-2,very_negative,2,very_positive,4,predicted_more_positive
9704,1- بهترین دوربینو نداره PURE VIEW و LUMIA دارن 2 -نه باریکترینه و سبک ترین هم نیست باریک ترین Droid RAZR هست با 7.1 میلیمتر سبک تر از اون Sony Xperia XS با 95 گرم بهترین صفحه نمایشو هم خودشون میگن داره ولی میبینی که مثل باریک ترین و سبک ترین حتما بهترین نیست 16:9 چیزی بود که استیو جابز ازش متنفر بود و اینکه تقریبا همه ی گوشی های دیگه 16:9 هستند و بالاتر از 4 اینچ هم هستند بهترین هدفون دنیا هم نیست خیلی بهتر از اون هم هست,-2,very_negative,1,positive,3,predicted_more_positive
8532,یکی از نقاط ضعف این دوربین، ضبط نشدن صدا هنگام زوم اپتیکال در حین فیلمبرداری است و ماکرو هم از فاصله 10cm کار می کنه که وقتی میخواین عکس های ماکرو بگیرین یکم با مشکل روبرو میشین و از لحاظ قدرت نرم افزاری هم ضعیفه، یعنی شما چیزی به اسم افکت های سپیا، سیاه و سفید، یا از این جور چیزها ندارین ..,-2,very_negative,1,positive,3,predicted_more_positive
2358,اپل با وجود سیستم عامل عالی اش همیشه خوب بوده نه عالی ، پردازنده جدیدش بحث برانگیزه ، اما اپل در این مدل جدید نو آوری چندانی نداشته و به وضوح سیر نزولی این شرکت پس از مدلهای 4 اس و 5 را میشه دید و می توان این نزول را از نبود استیو جابز افسانه ای دانست .,-1,negative,2,very_positive,3,predicted_more_positive
12443,سلام من مدتی است که این گوشی را دارم بسیار گوشی خوبی است ولی یک مشکلی که دارد مشکل مرگ ناگهانی است که بسیار نگران کننده است امیدوارم هر چه زودتر این مشکل رفع شود شنیدم که در مورد اکسپریا زد کمپانی اعتراف کرده و به زودی آپ دیت نرم افزار ارایه می شود,-1,negative,2,very_positive,3,predicted_more_positive
6366,در قلب Galaxy S II یک پردازنده‌ی بسیار قدرتمند دو هسته ای با سرعت 1.2 گیگاهرتز قرار گرفته که در زمان ورود Galaxy S II به بازار در سال 2011 فوق‌العاده بود، اما در حال حاضر و در بین دنیای چهار هسته ایها حرف خاصی برای گفتن ندارد.,-1,negative,2,very_positive,3,predicted_more_positive
2000,به نظر من اپل دیگه دوره اش سر رسیده اگر قرار به خریدن گوشی با امکانات بالا باشه اس 3 انتخاب بهتری هست و اگر هم باز قرار به خرید سیستم عامل عالی باشه باز هم آندرید بهتره و اگر کیفیت صفحه نمایش باز هم اس 3 بهتره,-1,negative,2,very_positive,3,predicted_more_positive
4,به هر صورت معمولا چیزی که بیشتر کاربران از پرینتری پر کار در این سطح قیمت برای خانه و یا دفتر کار انتظار دارند، تولید پرینت های با کیفیت بالا، با سرعت زیاد و البته هزینه‌ی نگهداری پایین است.,2,very_positive,-1,negative,3,predicted_more_negative
659,cpu هم که نسل سومه و در تستی که من کردم واقعا از لحاظ پروسس متحیر شدم ، به هیچ عنوان داغ نمیکنه و من اصلا با این مشکل تا به حال برخورد نکردم حتی در اجرای سنگین ترین بازیهای گرافیکی.,2,very_positive,-1,negative,3,predicted_more_negative
11409,اگر اهل نوشتن و خوندن به زبان انگلیسی باشد و صدالبته اس ام اس زدن با این زبان ، دیکشنری گوشی به همراه امکان نوشتن کلمات فقط با حرکت انگشت روی صفحه فوق العاده است(Gesture Typing) .,2,very_positive,-1,negative,3,predicted_more_negative
11818,سلام این گوشیو ده روزه که خریدم ولی وقتی دماش بالا میره حدود 30 دکمه بکش بکل قاطی میکنه ولی بقیه چیزاش خوبه فقط این مشکل داغ کردن اعصاب خوردیه اگه میدونستم نمی خریدمش.,-2,very_negative,1,positive,3,predicted_more_positive
6886,من به نظرم نوت 2 خیلی بیشتر از این می ارزه چرا که هم قیمتش کمتره و هم باطری قوی تری داره و کیفیت عکس هایی که سامسونگ میگیره خیلی بهتر از دوربین گوشی های اچ تی سی هست.,-1,negative,2,very_positive,3,predicted_more_positive
9566,و با اومدن آندروید دیگر ios هیچ جایگاهی در سیستم عامل جدید نداره S2 بالاتر از Iphone 4s هستش و اگر برند اپل بر روی S2 بود همین گوشی قیمتش بالای 2میلیون تومن بود.,-2,very_negative,1,positive,3,predicted_more_positive
6915,در مورد وان ایکس هم همین حرف ها گفته می شد که باتریش ضعیفه اما من یکی از دوستام داشت و وقتی باهاش کار می کنم مثل بقیه ی گوشی های اندرویدی باتری مصرف میکنه.,1,positive,-2,very_negative,3,predicted_more_negative
1127,آقا جدا این هارد فوق العادست من امروز (9 بهمن 91) خریدمش در حالی که رقیبش یعنی My Passport شرکت وسترن دیجیتال ارزونتر بود و الان هم اصلا پشیمون نیستم.,2,very_positive,-1,negative,3,predicted_more_negative
12400,توصیه برای کساییکه مثل من بین این گوشی و s3 موندن؛ کیفیت تصویر این گوشی بسیار پایین تراز s3 هستش، رابط کاربری S3 هم خیلی بهتره.,-1,negative,2,very_positive,3,predicted_more_positive
8668,در مقایسه با دو سیمکارته Glaxy S DUOS که ظاهر بسیار زیبا و کاملا مشابه با S III داره بسیار در طراحی اینگوشی ال جی ضعیف عمل شده.,-1,negative,2,very_positive,3,predicted_more_positive
