Sample,text,True Class,Predicted Class,confidence,Confusion
1,به جرئت میگم در حال حاضر این قدرتمندترین دستگاه قابل حمل موجود بر پایه معماری ARM هست.,happy,delighted,0.91735834,happy → delighted
2,cpuدوهسته ای 1گیگا هرتز، gpu adreno203 وظاهرش هم که تغییر کرده اما قیمتش تنها کمی زیاد تر شده که این عالیه.,happy,delighted,0.8367632,happy → delighted
3,لپ تاپ خیلی خوبیه ایراد خاصی ندارد .,happy,delighted,0.52684027,happy → delighted
4,بعلاوه توانایی فیلم برداری HD نیز با آن همراه شده تا علاوه بر عکاسی بتوانید یک دوربین فیلم برداری خیلی خوب را هم همراه خود داشته باشید.,happy,delighted,0.8531341,happy → delighted
5,این دوربین توانایی ضبط ویدیویی 1080p Full HD را نیز دارد.,happy,neutral,0.92117405,happy → neutral
6,اگر بافت غنی و واضح تصاویر فول اچ دی را تجربه کنید، برنامه های تلویزیونی و فیلم های دلخواه تان دیگر هرگز مانند گذشته نخواهند بود.,happy,neutral,0.7923098,happy → neutral
7,در قسمت جلو و پشت گوشی دو لایه از شیشه ضد خش Gorilla Glass قرار دارند.,happy,neutral,0.98427564,happy → neutral
8,(با یک کاور حل میشه!,happy,neutral,0.9704902,happy → neutral
9,از لحاظ کیفیت اسکرین و تراکم پیکسلی ان واقعا چیزی کمتر از ایپد جدید ندارد.,neutral,happy,0.6457813,neutral → happy
10,نکته ی مهمی که باید در انتخاب یک گوشی در نظر داشت خوش دست بودن و اندازه ی مناسب آن است.,neutral,happy,0.96821827,neutral → happy
11,باتری i9100 قویتر میکرد.,neutral,happy,0.5748664,neutral → happy
12,امکانات کلی XBOX 360 • هارددیسک پرتابل این دستگاه به یک هارددیسک بیست گیگابایتی SATA مجهز می‌باشد که امکان ذخیره‌ی بازی، موسیقی و دموهای مختلف را به کاربر می‌دهد.,neutral,happy,0.8055767,neutral → happy
13,به نظر من معرکس با این هزینه آیفن 5 میشه گرفت ولی این محصول هم گوشی داره هم تبلت یعنی گوشیش هم در حد آیفن 5 پس ارزش خریدن داره از لحاظ زیبایی هم که نظیر نداره,delighted,happy,0.66555154,delighted → happy
14,اگه کسی میخواد گلکسی تب 2 بخره به نظر من توی عالی بودن این تبلت شک نکنه.,delighted,happy,0.7546832,delighted → happy
15,"برخی از افراد ترجیح میدن یک گوشی با امکانات روز در ابعاد کوچک در عین حال زیبا برای استفاده روز مره داشته باشند به نظر من اکسپریا ری به دلایل زیر یک پیشنهاد ایده آل میتونه باشه:1- قابلیت ارتقا به جدید ترین ورژن از اندروید 42- صفحه نمایش بسیار با کیفیت با نمایش 300 پیکسل در یک اینچ که با دید انسان برابری می کند ( لازم به بیان هست که چشم ما 325 پیکسل در اینچ هست و این یعنی تکنولوژی سونی)3- کیفیت دوربین 8 مگاپیکسل با سنسور exmor r cmos که در دوربین های حرفه ای مورد استفاده قرار میگیره قابلیت تصویر برداری سه بعدی و نمایش آن و همچنین تصویر برداری پانوراما با همراهی فلش قوی led که پیشنهاد میشه در هنگام فلش زدن به دلیل قدرت بالا بهش نگاه نکنین که کوری زمانی میاره4- دوربین دوم با کیفیت 2 مگاپیکسل برای مکالمه تصویری5- کیفیت فیلم برداری hd 6- بدنه باریک و زیبا با ضخامت 9.4 mm و وزن 100g7- بالا ترین رزولوشن 845*480 به همراه موتور براویا سونی8- پردازنده قوی9- صفحه نمایش مولتی تاچ و کنترل لمسی حساس و حسگر شتاب سنج و مجاورت سنج، 10- صفحه نمایش ۳٫۳ اینچ لمسی با وضوح بسیار بالا و تفکیک ۱۶ میلیون رنگ11- مسیر یاب جی پی اس، ثبت موقعیت جغرافیایی به همراه تصویر، 12- ۳۰۰ مگابایت حافظه داخلی 13- شبکه بیسیم، رادیوی اف ام استریو، بلوتوث استریو14- پشتیبانی از گیم های hd و سنگین15- صفحه ضدخش، نسل ۳٫۵، پردازنده یک گیگاهرتز، قابلیت افزایش کارت حافظه16- پخش موسیقی MP4 (AAC), MP3, M4A, 3GPP, AMR, AMR-WB, WAV, RealAudio, iMelody, XMF, WMA 917- پخش فیلم MP4, 3GPP (H.",delighted,happy,0.65846413,delighted → happy
16,در ضمن، با توجه به تجربه موفق iPhone 4S، عملکرد iPhone 5 نیز در زیر نور آفتاب و در زوایای مختلف هیچ گونه کاهشی ندارد.,delighted,happy,0.9523612,delighted → happy
17,درسته که فول اچ دیه ولی نکسوس 4 از صفحه نمایش True HD-IPS + LCD استفاده میکنه.,angry,neutral,0.8683767,angry → neutral
18,گوشی زیبایی هست اما به نظر من htc buttrfly بهتره .,angry,neutral,0.50488716,angry → neutral
19,صفحه نمایش واقعا میبایست 0.5 اینچ فرق کنه.,angry,neutral,0.9775835,angry → neutral
20,کیفیت عکس‌ها کاملا ابتدایی است.,angry,neutral,0.61003184,angry → neutral
