file,sentence_count
data/main/Apple iPhone 5 - 16GB.xml,607
data/main/Microsoft Xbox 360 Elite.xml,368
data/extra/HTC Butterfly.xml,338
data/extra/Samsung Galaxy Note 10.1 N8000 - 16GB.xml,310
data/main/Sony Ericsson Xperia Ray.xml,297
data/extra/Sony Ericsson Xperia Mini.xml,284
data/extra/LG Optimus L7 II Dual P715.xml,273
data/extra/Apple iPhone 5 - 64GB.xml,265
data/extra/Sony Ericsson Live With Walkman.xml,240
data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml,229
data/main/HP_ProBook_4540s-A.xml,227
data/main/Samsung Galaxy S II I9100 - 16GB.xml,225
data/main/Sony Cyber-Shot DSC-HX200V.xml,209
data/main/LG Optimus Vu P895.xml,198
data/extra/Canon PowerShot SX230 HS.xml,196
data/extra/Sony Ericsson Xperia Pro.xml,188
data/main/Sony Xperia Ion.xml,167
data/main/Samsung I9082 Galaxy Grand Duos.xml,161
data/extra/LG Nexus 4 E960 - 16GB.xml,160
data/main/Samsung Galaxy Tab 2 7.0 P3100 - 16GB.xml,149
data/extra/Apple iPad mini WiFi-16GB.xml,148
data/extra/Canon EOS 650D Kit EF-18-55 IS.xml,144
data/main/Huawei Ascend Y300.xml,139
data/main/HTC One X Plus - 64GB.xml,128
data/extra/Apple iPhone 4S-32GB.xml,128
data/extra/Huawei U8825D Ascend G330.xml,126
data/main/Western Digital Portable My Passport - 1TB.xml,121
data/extra/Sony Xperia E Dual.xml,120
data/extra/(Canon EOS 600D (Kiss X5 - Rebel T3i.xml,113
data/main/Apple Ipod Touch 5th Generation - 64GB.xml,113
data/extra/Sony Xperia V.xml,113
data/extra/Canon PowerShot SX40 HS.xml,111
data/extra/Sony Xperia TX.xml,110
data/main/Asus Google Nexus 7 3G - 32GB.xml,109
data/main/Fujifilm Finepix S3200.xml,109
data/main/HP LaserJet P1102.xml,108
data/extra/HTC Desire C.xml,108
data/main/HTC Desire SV.xml,106
data/extra/Asus PadFone 2 -32GB.xml,106
data/extra/Sony Cyber-Shot DSC-WX50.xml,104
data/extra/Sony Xperia Neo L.xml,104
data/extra/Nokia 206.xml,98
data/extra/HTC Desire V.xml,98
data/main/Samsung Galaxy Note N5100 - 16GB.xml,98
data/main/Sony Cyber-Shot DSC-HX10V.xml,97
data/extra/Canon Powershot SX50 HS.xml,97
data/main/Nokia Lumia 620.xml,94
data/extra/Samsung I8190 Galaxy S III Mini.xml,94
data/main/Samsung Galaxy S III I9305 - 16GB.xml,90
data/main/Apple MacBook Pro With Retina Display-B.xml,90
data/main/Asus PadFone - 16GB.xml,86
data/main/Nokia 500.xml,84
data/main/Huawei MediaPad 10 FHD - 16GB.xml,83
data/extra/Asus Fonepad ME371 - 8GB.xml,83
data/main/Canon PowerShot A3400 IS.xml,81
data/main/Fujitsu Stylistic M532.xml,78
data/main/Sony Xperia Miro.xml,78
data/extra/Samsung Galaxy S II I9100 - 16GB_Hosseini.xml,78
data/main/Microsoft Xbox 360 Slim 250GB Console with Kinect.xml,76
data/extra/Apple iPhone 4 - 8GB.xml,76
data/main/Fujifilm FinePix F660EXR.xml,73
data/main/Sony HDR-XR550.xml,72
data/extra/Canon EOS 6D Body.xml,72
data/extra/LG Optimus Vu P895_Hosseini.xml,72
data/main/Fujifilm X-Pro1.xml,72
data/extra/Nikon Coolpix P510.xml,70
data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,70
data/main/(Panasonic Lumix DMC-FT3 (TS3.xml,70
data/extra/Samsung Galaxy Note N5100 - 16GB_Hosseini.xml,70
data/main/Nokia Asha 302.xml,68
data/main/Canon Pixma MX374.xml,68
data/extra/Fujifilm X-Pro1_Hosseini.xml,67
data/main/HTC Windows Phone 8X.xml,67
data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml,67
data/main/Sony NEX-VG10.xml,65
data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,65
data/extra/HP LaserJet P1102_Hosseini.xml,64
data/main/Samsung LED 55ES8880.xml,62
data/main/Asus PadFone 2 - 16GB.xml,62
data/extra/HP Pavilion Sleekbook 14-b009tu.xml,62
data/extra/Nokia 500.xml,61
data/main/Samsung Galaxy Young S6312.xml,61
data/extra/Apple Ipod Touch 8GB.xml,61
data/extra/Panasonic HDC-HS900.xml,60
data/extra/HP Compaq Presario CQ58-200SX.xml,60
data/extra/Canon Pixma MX374_Hosseini.xml,59
data/extra/Sony NEX-VG10_Hosseini.xml,59
data/main/(Canon IXUS 240 HS (PowerShot ELPH 320 HS.xml,59
data/extra/Asus Transformer Pad Infinity TF700T 64GB + Dock_Hosseini.xml,59
data/extra/Asus X43SD_Hosseini.xml,57
data/main/Asus X43SD.xml,57
data/extra/Sony Cybershot HX50v.xml,57
data/main/Asus N43SM-C.xml,55
data/extra/Samsung I9082 Galaxy Grand Duos_Hosseini.xml,55
data/main/ADATA Portable HD710 - 1TB.xml,54
data/extra/(Canon IXUS 240 HS (PowerShot ELPH 320 HS_Hosseini.xml,54
data/main/Microsoft Surface RT - 32GB + Keyboard.xml,54
data/main/Samsung DV300F.xml,52
data/extra/GoPro Hero3 Silver Edition.xml,52
data/main/Nikon Coolpix P7700.xml,51
data/extra/Samsung Galaxy S II Plus I9105 - 8GB_Hosseini.xml,50
data/main/Apple iPhone 5 - 32GB.xml,50
data/extra/Canon EOS 100D.xml,50
data/extra/Samsung Galaxy S III I9305 - 16GB.xml,49
