dataset_index,text,actual_label,predicted_label,actual_label_name,predicted_label_name,is_correct,label_difference,label_distance,character_count,word_count,error_severity,error_direction
85,مود Adv (Advanced) قابلیت‌های خیلی خوبی مثل اینکه چند عکس در کنار هم برای عکاسی پانوراما تهیه کنید را به شما می‌دهد.,1,2,positive,very_positive,False,1,1,116,22,adjacent_class_error,predicted_more_positive
2771,رزولوشن صفحه اش پایینه در حالی که تبلت های 7 اینچی خوب مانند Ainol novo 7 venus و یا nexus 7 و .,-1,-1,negative,negative,True,0,0,96,23,correct,correct
11539,نکته جالب در مورد Nexus 4 این است که این گوشی دارای کیت داخلی شارژ بی‌سیم نیز می‌باشد و می‌توان آن را توسط دستگاه های شارژر بی‌سیم نیز شارژ کرد.,1,1,positive,positive,True,0,0,144,30,correct,correct
7610,در تست‌های سخت افزاری انجام شده بر روی این گوشی، مشخص گردید که این گوشی از نظر قدرت سخت افزاری، عملکردی تقریبا شبیه به Samsung Galaxy S Advance، Htc One S و Samsung Galaxy S II دارد.,0,0,neutral,neutral,True,0,0,182,37,correct,correct
193,واقعا نسبت به قیمتش ارزش داشت (البته اون موقع که من گرفتم ارزون تر بود).,1,-1,positive,negative,False,-2,2,72,15,distant_class_error,predicted_more_negative
3153,اگه کسی میخواد گلکسی تب 2 بخره به نظر من توی عالی بودن این تبلت شک نکنه.,2,2,very_positive,very_positive,True,0,0,72,17,correct,correct
5160,ضمن اینکه هم اکنون حافظه‌های جدیدی با ظرفیت ۲۵۶ مگابایت به بازار عرضه شده که از سرعت و قابلیت‌های بالاتری نسبت به این نوع حافظه‌ها برخوردار هستند.,0,0,neutral,neutral,True,0,0,146,27,correct,correct
797,همچنین برنامه های متنوعی از قبل بر روی این گوشی نصب شده‌اند که از جمله آن‌ها می‌توان به برنامه نقشه گوگل، Dropbox، ایمیل، نمایشگر فایل‌های آفیس و .,1,1,positive,positive,True,0,0,147,28,correct,correct
8607,دوسیم با هم فعاله و خوبیه دیگش اینه مثل دوسیم کارته های دیگه سیم میکرو نمیخواد.,1,0,positive,neutral,False,-1,1,79,16,adjacent_class_error,predicted_more_negative
9647,ولی مشخصات سخت افزاری و نرم افزاری در حدی که باید نیست .,-1,0,negative,neutral,False,1,1,56,13,adjacent_class_error,predicted_more_positive
1486,در کل نسبت به دیگر مدل های هم سری یه سر و گردن بالاتره.,1,1,positive,positive,True,0,0,55,14,correct,correct
2143,همه میدانیم که این گوشی از سیستم عامل ios6 پشتیبانی میکند سیستم عاملی که رییس شرکت سامسونگ در معرفی گلکسی نوت2 دربارش میگوید:این سیستم عامل بی نظیر و دست نیافتنی است و من ارزو دارم روزی از این سیستم عامل بر روی گوشی های سامسونگ استفاده کنم.,1,2,positive,very_positive,False,1,1,240,47,adjacent_class_error,predicted_more_positive
3397,به نظر می‌رسد عملکرد باتری آن نسبت به باتری One X به علت وجود سیستم عامل ویندوز، بهتر باشد.,1,1,positive,positive,True,0,0,91,19,correct,correct
10338,در چهار گوشه صفحه، چهار پوشه وجود دارند که می‌توانید در هر کدام از آن‌ها چهار برنامه قرار دهید.,0,0,neutral,neutral,True,0,0,95,19,correct,correct
1572,این نسخه یکی از جدیدترین نسخ این سیستم عامل است که سامسونگ برای Note 8 انتخاب نموده.,1,2,positive,very_positive,False,1,1,84,17,adjacent_class_error,predicted_more_positive
7910,حسگر CMOS کیفیت خیلی بهتری داره و از نظر باطری خیلی کم مصرف تر هست به نظر من که کیفیت عکس و فیلمش فوق العاده هست .,2,2,very_positive,very_positive,True,0,0,114,27,correct,correct
3964,بله تعداد پیکسل بالاست.,0,0,neutral,neutral,True,0,0,23,4,correct,correct
11971,من این گوشی رو امروز سفارش دادم بیاد.,0,0,neutral,neutral,True,0,0,37,8,correct,correct
12602,بازی HD رو خوب اجرا میکنه.,1,1,positive,positive,True,0,0,26,6,correct,correct
7248,هر چند خیلی جالبه ولی با پولش میشه یه موبایل و یه تبلت بخری!,-1,1,negative,positive,False,2,2,60,14,distant_class_error,predicted_more_positive
12025,گزینه ی دیگری هم بنام Theme UI tool داره که میتونین برای گوشیتون تم بسازید (البته فعلا فقط مدل های D1 و Honor را پشتیبانی میکنه) یکی دیگه از مزیت های این برنامه اینه که لازم نیست برای نصب برنامه روی گوشیتون فایل های apk را داخل گوشی بریزین و بعد نصب کنید.,0,1,neutral,positive,False,1,1,255,53,adjacent_class_error,predicted_more_positive
10837,الان هم قیمتش اومده پایین و مناسب واسه خرید,1,-1,positive,negative,False,-2,2,43,9,distant_class_error,predicted_more_negative
899,توانایی فیلم برداری Full HD نیز که به هر صورت عادلی و مانند مدل پیشین است.,0,0,neutral,neutral,True,0,0,74,16,correct,correct
10377,مقاومت در برابر تکان های وارد شده از ضربهمهم نیست محیط جایی که در آن کار می کنید یا بازی می کنید به چه میزان خشن و سخت باشد، ساختار با دوام قابلیت اعتماد به دسترسی اطلاعات را فراهم می کند.,1,0,positive,neutral,False,-1,1,188,41,adjacent_class_error,predicted_more_negative
9649,"اما از نظر طراحی ساخت , کیفیت صفحه نمایش , دوربین و .",0,0,neutral,neutral,True,0,0,53,13,correct,correct
7162,واقعا عالیه از همه نظر.,2,2,very_positive,very_positive,True,0,0,23,5,correct,correct
10017,البته حساسیت این سنسور از سنسور M52 کمتر می‌باشد و دست کم به نور 5 لوکس حساس می‌باشد.,-1,1,negative,positive,False,2,2,85,18,distant_class_error,predicted_more_positive
7647,خداکنه توی ایران که میاد هم قیمتش به همون خوبی باشه!,0,2,neutral,very_positive,False,2,2,52,11,distant_class_error,predicted_more_positive
9360,فقط می تونم بگم عالیه.,1,2,positive,very_positive,False,1,1,22,5,adjacent_class_error,predicted_more_positive
10346,برنامه دوربین Live with Walkman امکانات اولیه بسیار کاملی دارد.,2,2,very_positive,very_positive,True,0,0,63,10,correct,correct
11480,دقیقا بر عکس اپل که روی چیزای کاربردی مثل وزن .,0,0,neutral,neutral,True,0,0,47,11,correct,correct
10948,آیپد3 هم قبلا داشتم.,0,0,neutral,neutral,True,0,0,20,4,correct,correct
8094,وگرنه htc میتونست از CPU قوی تر هم روی این گوشی استفاده کنه و قرار بده ولی خوب باید دانست که افزایش قیمت به کیفیت صفحه نمایش و قدرت CPU مربوط میشه.,0,1,neutral,positive,False,1,1,147,32,adjacent_class_error,predicted_more_positive
3774,به صورتی که می توان پورت USB، جک 3.5 میلی متری هدفون، میکروفون و پورت AV را بر روی آن یافت.,0,0,neutral,neutral,True,0,0,91,21,correct,correct
7838,اما ASUS مفهوم فبلت را کمی عجب به ثمر رسانده!,0,-1,neutral,negative,False,-1,1,45,10,adjacent_class_error,predicted_more_negative
2856,با وجود سیستم عامل اندروید، قادر خواهید بود از هزاران برنامه موجود برای این سیستم عامل استفاده نمایید.,0,1,neutral,positive,False,1,1,102,18,adjacent_class_error,predicted_more_positive
3178,زیبا و خوش دسته !,1,2,positive,very_positive,False,1,1,17,5,adjacent_class_error,predicted_more_positive
7477,هرچند که یک آداپتور سنتی AC همراه با دوربین می‌باشد، ولی می‌توانید از طریق کابل USB و اتصال آن به رایانه نیز باتری دوربین را شارژ کنید.,0,0,neutral,neutral,True,0,0,135,27,correct,correct
1666,اما به نظر می‌رسد کمپانی اپل، پردازنده جدید خود را مخصوص آیفون 5 طراحی و تولید نموده است.,0,1,neutral,positive,False,1,1,89,18,adjacent_class_error,predicted_more_positive
10347,برای مثال می‌توان به قابلیت تشخیص لبخند و قابلیت پانورامای سه بعدی اشاره کرد.,1,0,positive,neutral,False,-1,1,77,14,adjacent_class_error,predicted_more_negative
12437,من تعریفش رو خیلی شنیدم اما باید امتحان کرد,0,-1,neutral,negative,False,-1,1,43,9,adjacent_class_error,predicted_more_negative
11162,با قابلیت AllShare Play می توانید فیلم، عکس، موسیقی و بسیاری فایل های رسانه ای دیگر را هر دستگاه سازگار، شامل کامپیوترها که در نزدیکی تلویزیون قرار دارند پخش کنید.,0,0,neutral,neutral,True,0,0,163,30,correct,correct
