dataset_index,text,actual_label,predicted_label,actual_label_name,predicted_label_name,is_correct,label_difference,label_distance,character_count,word_count,error_severity,error_direction
85,مود Adv (Advanced) قابلیت‌های خیلی خوبی مثل اینکه چند عکس در کنار هم برای عکاسی پانوراما تهیه کنید را به شما می‌دهد.,1,2,positive,very_positive,False,1,1,116,22,adjacent_class_error,predicted_more_positive
193,واقعا نسبت به قیمتش ارزش داشت (البته اون موقع که من گرفتم ارزون تر بود).,1,-1,positive,negative,False,-2,2,72,15,distant_class_error,predicted_more_negative
8607,دوسیم با هم فعاله و خوبیه دیگش اینه مثل دوسیم کارته های دیگه سیم میکرو نمیخواد.,1,0,positive,neutral,False,-1,1,79,16,adjacent_class_error,predicted_more_negative
9647,ولی مشخصات سخت افزاری و نرم افزاری در حدی که باید نیست .,-1,0,negative,neutral,False,1,1,56,13,adjacent_class_error,predicted_more_positive
2143,همه میدانیم که این گوشی از سیستم عامل ios6 پشتیبانی میکند سیستم عاملی که رییس شرکت سامسونگ در معرفی گلکسی نوت2 دربارش میگوید:این سیستم عامل بی نظیر و دست نیافتنی است و من ارزو دارم روزی از این سیستم عامل بر روی گوشی های سامسونگ استفاده کنم.,1,2,positive,very_positive,False,1,1,240,47,adjacent_class_error,predicted_more_positive
1572,این نسخه یکی از جدیدترین نسخ این سیستم عامل است که سامسونگ برای Note 8 انتخاب نموده.,1,2,positive,very_positive,False,1,1,84,17,adjacent_class_error,predicted_more_positive
7248,هر چند خیلی جالبه ولی با پولش میشه یه موبایل و یه تبلت بخری!,-1,1,negative,positive,False,2,2,60,14,distant_class_error,predicted_more_positive
12025,گزینه ی دیگری هم بنام Theme UI tool داره که میتونین برای گوشیتون تم بسازید (البته فعلا فقط مدل های D1 و Honor را پشتیبانی میکنه) یکی دیگه از مزیت های این برنامه اینه که لازم نیست برای نصب برنامه روی گوشیتون فایل های apk را داخل گوشی بریزین و بعد نصب کنید.,0,1,neutral,positive,False,1,1,255,53,adjacent_class_error,predicted_more_positive
10837,الان هم قیمتش اومده پایین و مناسب واسه خرید,1,-1,positive,negative,False,-2,2,43,9,distant_class_error,predicted_more_negative
10377,مقاومت در برابر تکان های وارد شده از ضربهمهم نیست محیط جایی که در آن کار می کنید یا بازی می کنید به چه میزان خشن و سخت باشد، ساختار با دوام قابلیت اعتماد به دسترسی اطلاعات را فراهم می کند.,1,0,positive,neutral,False,-1,1,188,41,adjacent_class_error,predicted_more_negative
10017,البته حساسیت این سنسور از سنسور M52 کمتر می‌باشد و دست کم به نور 5 لوکس حساس می‌باشد.,-1,1,negative,positive,False,2,2,85,18,distant_class_error,predicted_more_positive
7647,خداکنه توی ایران که میاد هم قیمتش به همون خوبی باشه!,0,2,neutral,very_positive,False,2,2,52,11,distant_class_error,predicted_more_positive
9360,فقط می تونم بگم عالیه.,1,2,positive,very_positive,False,1,1,22,5,adjacent_class_error,predicted_more_positive
8094,وگرنه htc میتونست از CPU قوی تر هم روی این گوشی استفاده کنه و قرار بده ولی خوب باید دانست که افزایش قیمت به کیفیت صفحه نمایش و قدرت CPU مربوط میشه.,0,1,neutral,positive,False,1,1,147,32,adjacent_class_error,predicted_more_positive
7838,اما ASUS مفهوم فبلت را کمی عجب به ثمر رسانده!,0,-1,neutral,negative,False,-1,1,45,10,adjacent_class_error,predicted_more_negative
2856,با وجود سیستم عامل اندروید، قادر خواهید بود از هزاران برنامه موجود برای این سیستم عامل استفاده نمایید.,0,1,neutral,positive,False,1,1,102,18,adjacent_class_error,predicted_more_positive
3178,زیبا و خوش دسته !,1,2,positive,very_positive,False,1,1,17,5,adjacent_class_error,predicted_more_positive
1666,اما به نظر می‌رسد کمپانی اپل، پردازنده جدید خود را مخصوص آیفون 5 طراحی و تولید نموده است.,0,1,neutral,positive,False,1,1,89,18,adjacent_class_error,predicted_more_positive
10347,برای مثال می‌توان به قابلیت تشخیص لبخند و قابلیت پانورامای سه بعدی اشاره کرد.,1,0,positive,neutral,False,-1,1,77,14,adjacent_class_error,predicted_more_negative
12437,من تعریفش رو خیلی شنیدم اما باید امتحان کرد,0,-1,neutral,negative,False,-1,1,43,9,adjacent_class_error,predicted_more_negative
10768,از بدنه ی حرفه‌ای‌تر این دوربین نسبت به مدل پیشین که بگذریم، بزرگترین پیشرفت که باعث شگفتی همگان هم شد، در لنز این دوربین بوده است.,1,2,positive,very_positive,False,1,1,131,26,adjacent_class_error,predicted_more_positive
6614,با وزن تنها 270 گرم نیز یکی از سبک وزن ترین‌ها می‌باشد.,2,1,very_positive,positive,False,-1,1,55,12,adjacent_class_error,predicted_more_negative
