dataset_index,text,actual_label,actual_label_name,predicted_label,predicted_label_name,label_distance,error_direction,character_count,word_count
9687,از هر لحاظ بهترینه، سخت افزار قدرتمندش حتما حس خوبی به آدم میده ولی این که خیلی از قابلیت هاش در ایران کار نمیکنه خیلی بده .,-2,very_negative,2,very_positive,4,predicted_more_positive,124,27
9244,کسانی که پیش از این کاربر دوربین های 500D، 550D و 600D بوده اند و با فیلم برداری آن ها کار کرده اند حتما متوجه این موضوع شده اند که در مود Live view و هنگام فیلم برداری، فوکوس خودکار فوق العاده کندتر صورت می گیرد و احیانا پر اشتباه.,-2,very_negative,2,very_positive,4,predicted_more_positive,232,50
7235,این در حالیه که با این پول میتونید هم یه تبلت خوب داشته باشید هم یه گوشی خیلی خوب .,-2,very_negative,2,very_positive,4,predicted_more_positive,83,20
11818,سلام این گوشیو ده روزه که خریدم ولی وقتی دماش بالا میره حدود 30 دکمه بکش بکل قاطی میکنه ولی بقیه چیزاش خوبه فقط این مشکل داغ کردن اعصاب خوردیه اگه میدونستم نمی خریدمش.,-2,very_negative,1,positive,3,predicted_more_positive,167,34
9636,تا دیروز S II مسخره میکردم چون که خیلی سبک بود احساس میکردم بی قابلیته، اما..,-2,very_negative,1,positive,3,predicted_more_positive,77,16
9704,1- بهترین دوربینو نداره PURE VIEW و LUMIA دارن 2 -نه باریکترینه و سبک ترین هم نیست باریک ترین Droid RAZR هست با 7.1 میلیمتر سبک تر از اون Sony Xperia XS با 95 گرم بهترین صفحه نمایشو هم خودشون میگن داره ولی میبینی که مثل باریک ترین و سبک ترین حتما بهترین نیست 16:9 چیزی بود که استیو جابز ازش متنفر بود و اینکه تقریبا همه ی گوشی های دیگه 16:9 هستند و بالاتر از 4 اینچ هم هستند بهترین هدفون دنیا هم نیست خیلی بهتر از اون هم هست,-2,very_negative,1,positive,3,predicted_more_positive,424,91
8515,کیفیت عکس‌ها کاملا ابتدایی است.,-1,negative,2,very_positive,3,predicted_more_positive,31,5
6886,من به نظرم نوت 2 خیلی بیشتر از این می ارزه چرا که هم قیمتش کمتره و هم باطری قوی تری داره و کیفیت عکس هایی که سامسونگ میگیره خیلی بهتر از دوربین گوشی های اچ تی سی هست.,-1,negative,2,very_positive,3,predicted_more_positive,166,39
7986,دوربین خیلی خوبیه اما کیفیت عکس fz150 از این بهتره,-1,negative,2,very_positive,3,predicted_more_positive,50,10
6915,در مورد وان ایکس هم همین حرف ها گفته می شد که باتریش ضعیفه اما من یکی از دوستام داشت و وقتی باهاش کار می کنم مثل بقیه ی گوشی های اندرویدی باتری مصرف میکنه.,1,positive,-2,very_negative,3,predicted_more_negative,155,35
