index,sid,text,normalized_text,polarity,file
11380,-,) جاي قرار گرفتن فلاشه که اولين عکسي که ميخواي بگيري فلاش باز ميشه و مياد بالا که بايد حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,) جای قرار گرفتن فلاشه که اولین عکسی که میخوای بگیری فلاش باز میشه و میاد بالا که باید حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,-1,data/extra/Sony Cyber-Shot DSC-HX10V.xml
4,gr-1-5,) جاي قرار گرفتن فلاشه که اولين عکسي که ميخواي بگيري فلاش باز ميشه و مياد بالا که بايد حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,) جای قرار گرفتن فلاشه که اولین عکسی که میخوای بگیری فلاش باز میشه و میاد بالا که باید حواست باشه به انگشت اشاره دست چپت برخورد نکنه.,0,data/main/Sony Cyber-Shot DSC-HX10V.xml
11548,-,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.,N43SM در کانفیگ هایی با ظرفیت ها ی هارد دیسک مختلف نیز ساخته شده است و از حافظه ها ی SSD نیز پشتیبانی می کند.,0,data/extra/Asus N43SM-C_Hosseini.xml
21,rev-22,N43SM در کانفیگ‌هایی با ظرفیت‌ها‌ی هارد دیسک مختلف نیز ساخته شده است و از حافظه‌ها‌ی SSD نیز پشتیبانی می‌کند.,N43SM در کانفیگ هایی با ظرفیت ها ی هارد دیسک مختلف نیز ساخته شده است و از حافظه ها ی SSD نیز پشتیبانی می کند.,1,data/main/Asus N43SM-C.xml
1,gr-1-2,"one x plus تنها گوشي بود که منو مجذوب خودش کرد:و اما دليلش:
1.",one x plus تنها گوشی بود که منو مجذوب خودش کرد:و اما دلیلش: 1.,1,data/main/HTC One X Plus - 64GB.xml
3677,-,one x plus تنها گوشي بود که منو مجذوب خودش کرد:و اما دليلش: 1.,one x plus تنها گوشی بود که منو مجذوب خودش کرد:و اما دلیلش: 1.,2,data/extra/HTC One X Plus - 64GB.xml
11319,-,آهنگ و از همه مهم تر استفاده از فلش کار رو خيلي راحت و دستگاه رو خيلي ساده کرده به همه دوستان توصيه مي کنم,آهنگ و از همه مهم تر استفاده از فلش کار رو خیلی راحت و دستگاه رو خیلی ساده کرده به همه دوستان توصیه می کنم,1,data/extra/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml
5,gr-9-6,"آهنگ و از همه مهم تر استفاده از فلش کار رو خيلي راحت و دستگاه رو خيلي ساده کرده
به همه دوستان توصيه مي کنم 
",آهنگ و از همه مهم تر استفاده از فلش کار رو خیلی راحت و دستگاه رو خیلی ساده کرده به همه دوستان توصیه می کنم,2,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml
1264,-,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد،  هر سه از اپل !,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,0,data/extra/Apple iPhone 5 - 16GB_Hosseini.xml
66,rev-67,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد،  هر سه از اپل !,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,0,data/main/Apple iPhone 5 - 16GB.xml
6791,-,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,آیفون 5 در رده دوم ایستاد و آیفون 4S نیز سوم شد، هر سه از اپل !,1,data/extra/Apple iPhone 5 - 64GB.xml
0,gr-5-1,آينده از آن سامسونگه!,آینده از آن سامسونگه!,0,data/main/Samsung LED 55ES8880.xml
8968,-,آينده از آن سامسونگه!,آینده از آن سامسونگه!,2,data/extra/Samsung LED 55ES8880.xml
